# format: notyas-goldens/1
# One line per (frame, panel). Written only by `cargo run -p uisim -- approve`,
# which refuses to write while any frame draws off its panel or any declared
# screen state is missing. A diff here IS the approval record.
# columns: frame  panel  sha256[..8]  ink=x,y,w,h  px=<ink pixels>  reg=<count>:<digest>
dice/word-count-mode               800x1280  098b085cab149647 ink=0,0,800,1254        px=761201   reg=15:50654feb
dice/word-count-mode               1024x600  49d5aea8a7d075ed ink=0,0,1024,568        px=341161   reg=15:1d4738c8
file-picker/all-files              720x720   2868d8b9d291753d ink=0,0,720,696         px=335017   reg=6:f684abb2
file-picker/all-files              720x1280  a3d361b6e89f35b5 ink=0,0,720,1256        px=347793   reg=6:248dedef
file-picker/all-files              800x480   e0b814fd2651d6b4 ink=0,0,800,454         px=266537   reg=5:f2d7a4b7
file-picker/all-files              800x1280  7b99a5fd2426ba17 ink=0,0,800,1254        px=384953   reg=6:8391bbb4
file-picker/all-files              1024x600  14fa6bed7f293bee ink=0,0,1024,568        px=440387   reg=6:f6c6b892
file-picker/empty                  720x720   74e4f0570f5cddce ink=0,0,720,696         px=257549   reg=4:30fd0208
file-picker/empty                  720x1280  10793c6e8e4b598b ink=0,0,720,1256        px=270325   reg=4:bf1e6601
file-picker/empty                  800x480   45a03fe56ff201bf ink=0,0,800,454         px=256701   reg=4:1fe83dc3
file-picker/empty                  800x1280  cc40f8ad4a1810ec ink=0,0,800,1254        px=298821   reg=4:28af76e5
file-picker/empty                  1024x600  a8dac4a2eb87d7cd ink=0,0,1024,568        px=289767   reg=4:1312b0bd
file-picker/listing                720x720   bd664fad912eabcc ink=0,0,720,696         px=335772   reg=6:403aab6e
file-picker/listing                720x1280  6bbfcc7825495313 ink=0,0,720,1256        px=417092   reg=7:4d5ae3ae
file-picker/listing                800x480   c56953e94d036984 ink=0,0,800,454         px=281878   reg=8:464a30ad
file-picker/listing                800x1280  53c66756456a5146 ink=0,0,800,1254        px=462354   reg=7:c7754977
file-picker/listing                1024x600  2ab7f425bb8b0492 ink=0,0,1024,568        px=442490   reg=6:7ccbacc6
file-picker/paged                  720x720   f2d48aa5b519bb05 ink=0,0,720,696         px=353659   reg=9:21fab8e4
file-picker/paged                  720x1280  5619a017e5ad64c1 ink=0,0,720,1256        px=711083   reg=14:ebf796be
file-picker/paged                  800x480   c45c2798992e1897 ink=0,0,800,454         px=281948   reg=8:73d8415f
file-picker/paged                  800x1280  a9ab652ec30c477e ink=0,0,800,1254        px=787724   reg=14:08a830cf
file-picker/paged                  1024x600  8a5d0fa0c9064bea ink=0,0,1024,568        px=458078   reg=9:c8e8f645
home/fresh                         720x720   371a431930ac8777 ink=108,24,588,672      px=136886   reg=4:1113c03d
home/fresh                         720x1280  4bcda01b28158d0d ink=108,24,588,1232     px=148982   reg=4:d66afe74
home/fresh                         800x480   ed9da8d4746d5bd8 ink=119,26,655,428      px=123638   reg=4:c32b33c3
home/fresh                         800x1280  ff2a617f68237910 ink=119,26,655,1228     px=164030   reg=4:df9360c9
home/fresh                         1024x600  9e050ad8e035d2d9 ink=152,32,840,536      px=158486   reg=4:b0356781
home/store-blank                   720x720   371a431930ac8777 ink=108,24,588,672      px=136886   reg=4:1113c03d
home/store-blank                   720x1280  4bcda01b28158d0d ink=108,24,588,1232     px=148982   reg=4:d66afe74
home/store-blank                   800x480   ed9da8d4746d5bd8 ink=119,26,655,428      px=123638   reg=4:c32b33c3
home/store-blank                   800x1280  ff2a617f68237910 ink=119,26,655,1228     px=164030   reg=4:df9360c9
home/store-blank                   1024x600  9e050ad8e035d2d9 ink=152,32,840,536      px=158486   reg=4:b0356781
home/store-unreadable              720x720   371a431930ac8777 ink=108,24,588,672      px=136886   reg=4:1113c03d
home/store-unreadable              720x1280  4bcda01b28158d0d ink=108,24,588,1232     px=148982   reg=4:d66afe74
home/store-unreadable              800x480   ed9da8d4746d5bd8 ink=119,26,655,428      px=123638   reg=4:c32b33c3
home/store-unreadable              800x1280  ff2a617f68237910 ink=119,26,655,1228     px=164030   reg=4:df9360c9
home/store-unreadable              1024x600  9e050ad8e035d2d9 ink=152,32,840,536      px=158486   reg=4:b0356781
keep-or-save/fork                  720x720   230092e34f761583 ink=0,0,720,688         px=350926   reg=3:3185518e
keep-or-save/fork                  720x1280  5ed8cdfaedbb1e9a ink=0,0,720,1248        px=375502   reg=3:e022496d
keep-or-save/fork                  800x480   e31b5440794b5551 ink=0,0,800,452         px=235214   reg=3:a32ab79e
keep-or-save/fork                  800x1280  787dba0a7c4529c6 ink=0,0,800,1252        px=415982   reg=3:d2819362
keep-or-save/fork                  1024x600  f3d61ca217a45314 ink=0,0,1024,560        px=398926   reg=3:b31ab257
lock/no-nickname                   720x720   7d8c0245e7b126d3 ink=0,0,720,694         px=116063   reg=2:17b0ffdc
lock/no-nickname                   720x1280  674ba4d39f83964b ink=0,0,720,1254        px=121823   reg=2:e431c94b
lock/no-nickname                   800x480   15c96ade1bcf548d ink=0,0,800,452         px=101455   reg=2:0ab9c717
lock/no-nickname                   800x1280  6a683c3d6636e04f ink=0,0,800,1252        px=134047   reg=2:f63dd6e2
lock/no-nickname                   1024x600  ee4ddaf53000e327 ink=0,0,1024,566        px=145703   reg=2:98e66c32
lock/no-word                       720x720   3a9031eae647426f ink=0,0,720,694         px=135639   reg=2:17b0ffdc
lock/no-word                       720x1280  38aba46a1e5cdd40 ink=0,0,720,1254        px=141399   reg=2:e431c94b
lock/no-word                       800x480   d10c468f7c00fc16 ink=0,0,800,452         px=132791   reg=2:0ab9c717
lock/no-word                       800x1280  e93f890d4c262945 ink=0,0,800,1252        px=155639   reg=2:f63dd6e2
lock/no-word                       1024x600  c983b0c4acefff96 ink=0,0,1024,566        px=147135   reg=2:98e66c32
lock/wipe-off                      720x720   d1b93817ffd1f411 ink=0,0,720,694         px=117495   reg=2:17b0ffdc
lock/wipe-off                      720x1280  a3238009259733c7 ink=0,0,720,1254        px=123255   reg=2:e431c94b
lock/wipe-off                      800x480   029caeaac0939ad1 ink=0,0,800,452         px=102887   reg=2:0ab9c717
lock/wipe-off                      800x1280  09ae8338052edbe3 ink=0,0,800,1252        px=135479   reg=2:f63dd6e2
lock/wipe-off                      1024x600  cf9067a98f5e0655 ink=0,0,1024,566        px=147135   reg=2:98e66c32
lock/word                          720x720   d1b93817ffd1f411 ink=0,0,720,694         px=117495   reg=2:17b0ffdc
lock/word                          720x1280  a3238009259733c7 ink=0,0,720,1254        px=123255   reg=2:e431c94b
lock/word                          800x480   029caeaac0939ad1 ink=0,0,800,452         px=102887   reg=2:0ab9c717
lock/word                          800x1280  09ae8338052edbe3 ink=0,0,800,1252        px=135479   reg=2:f63dd6e2
lock/word                          1024x600  cf9067a98f5e0655 ink=0,0,1024,566        px=147135   reg=2:98e66c32
mnemonic/masked                    720x720   27a1d08aaa4516e0 ink=0,0,720,696         px=119852   reg=3:d6a7f27d
mnemonic/masked                    720x1280  6a1d8b59de3339d1 ink=0,0,720,1256        px=130892   reg=3:cced547a
mnemonic/masked                    800x480   926abb8ecb9450b2 ink=0,0,800,454         px=107692   reg=3:90429cf9
mnemonic/masked                    800x1280  b3c01659d91b916c ink=0,0,800,1254        px=144532   reg=3:81109dd4
mnemonic/masked                    1024x600  386824bf1292560f ink=0,0,1024,568        px=139340   reg=3:ddee0e41
mnemonic/reveal-confirm            720x720   4e55a2941daad810 ink=0,0,720,696         px=358958   reg=2:b3759294
mnemonic/reveal-confirm            720x1280  166594772d16ca87 ink=0,0,720,1256        px=376412   reg=2:2596f340
mnemonic/reveal-confirm            800x480   53f2b23708f87f5e ink=0,0,800,454         px=302087   reg=2:3bdba973
mnemonic/reveal-confirm            800x1280  29cbc4f10fa7d1de ink=0,0,800,1254        px=393772   reg=2:7dc1a003
mnemonic/reveal-confirm            1024x600  6d6f8cf8e266d7c3 ink=0,0,1024,568        px=387422   reg=2:46de2056
mnemonic/revealed                  720x720   ac2c6fef907296f3 ink=0,0,720,696         px=129907   reg=2:72280d87
mnemonic/revealed                  720x1280  e51d4339f46e92e5 ink=0,0,720,1256        px=141043   reg=2:49c98322
mnemonic/revealed                  800x480   c505b8753538196d ink=0,0,800,454         px=117619   reg=2:85033433
mnemonic/revealed                  800x1280  8b3f06283896b668 ink=0,0,800,1254        px=154771   reg=2:a5ff5f35
mnemonic/revealed                  1024x600  e18af6cfe7eb09bf ink=0,0,1024,568        px=149491   reg=2:b4bbbf80
multisig-detail/cosigners          720x720   9ac507d1299055b4 ink=0,0,720,696         px=343637   reg=4:6acbc73d
multisig-detail/cosigners          720x1280  e30ff3894d9a142c ink=0,0,720,1256        px=405171   reg=4:caef26d7
multisig-detail/cosigners          800x480   8820c37f184cd15d ink=0,0,800,454         px=250077   reg=4:ec5d9155
multisig-detail/cosigners          800x1280  92a8033cbf19a11c ink=0,0,800,1254        px=444639   reg=4:86af8b98
multisig-detail/cosigners          1024x600  140afe0b815c5f42 ink=0,0,1024,568        px=417421   reg=4:64baa4e0
multisig-detail/delete-typed       720x720   b5dd8775afd7acfb ink=24,24,672,672       px=227903   reg=33:576b3590
multisig-detail/delete-typed       720x1280  984cf388d22969ce ink=24,24,672,1232      px=259179   reg=33:d4fdaeef
multisig-detail/delete-typed       800x480   28c8f571aabd933d ink=26,26,748,428       px=150850   reg=33:0ba71297
multisig-detail/delete-typed       800x1280  1d32646a36361445 ink=26,26,748,1228      px=286659   reg=33:ef0b570e
multisig-detail/delete-typed       1024x600  799cda41089b3ec1 ink=32,32,960,536       px=178377   reg=33:0142499f
multisig-detail/saved              720x720   dac133fa6b94e106 ink=0,0,720,696         px=343637   reg=4:6acbc73d
multisig-detail/saved              720x1280  869160474f4f7f03 ink=0,0,720,1256        px=387910   reg=4:caef26d7
multisig-detail/saved              800x480   f86811b1b31f910d ink=0,0,800,454         px=250077   reg=4:ec5d9155
multisig-detail/saved              800x1280  a20b3bf923cb1f8d ink=0,0,800,1254        px=426390   reg=4:86af8b98
multisig-detail/saved              1024x600  7fb72fab023bfac9 ink=0,0,1024,568        px=417421   reg=4:64baa4e0
multisig-detail/unreadable         720x720   6b0d2685b49c118f ink=0,0,720,696         px=229689   reg=2:c5a1f1c1
multisig-detail/unreadable         720x1280  51071fefa2759e80 ink=0,0,720,1256        px=239711   reg=2:c6343624
multisig-detail/unreadable         800x480   66a71bf3d891b1bd ink=0,0,800,454         px=205774   reg=2:11fc4854
multisig-detail/unreadable         800x1280  1dadc0f28682c609 ink=0,0,800,1254        px=261647   reg=2:b322fb6e
multisig-detail/unreadable         1024x600  290b27bac244efcb ink=0,0,1024,568        px=273319   reg=2:f945a577
multisig-import/approve            720x720   4faaafa5f69c0053 ink=0,0,720,696         px=249827   reg=4:b6a42b76
multisig-import/approve            720x1280  86fd7c89a511c415 ink=0,0,720,1256        px=322133   reg=4:74b67a92
multisig-import/approve            800x480   2459ab324f41c8fb ink=0,0,800,454         px=200905   reg=4:9ce3c7f4
multisig-import/approve            800x1280  b270a3a5446eaa07 ink=0,0,800,1254        px=335385   reg=4:bfbc82b2
multisig-import/approve            1024x600  21c38ca3aac18811 ink=0,0,1024,568        px=272277   reg=4:e431c195
multisig-import/cosigner           720x720   a7fb5f06852a4128 ink=0,0,720,696         px=143167   reg=4:8acc6ec0
multisig-import/cosigner           720x1280  6589d8e7296a0bad ink=0,0,720,1256        px=167718   reg=4:6fab750e
multisig-import/cosigner           800x480   2f22689ef7ebc15a ink=0,0,800,454         px=112788   reg=4:9ba1cf45
multisig-import/cosigner           800x1280  a4d1495afc5af79e ink=0,0,800,1254        px=181270   reg=4:95c8a826
multisig-import/cosigner           1024x600  7dda62ff95be51f2 ink=0,0,1024,568        px=152501   reg=4:689b99e6
multisig-import/facts              720x720   d31359b2acf215c6 ink=0,0,720,696         px=407160   reg=3:d18548bf
multisig-import/facts              720x1280  6a5b91bbbe95a835 ink=0,0,720,1256        px=437758   reg=3:2f58dd6b
multisig-import/facts              800x480   0f9237b3668b624c ink=0,0,800,454         px=270754   reg=3:0bb8f1c3
multisig-import/facts              800x1280  5333223563d925c8 ink=0,0,800,1254        px=459038   reg=3:8acf60d5
multisig-import/facts              1024x600  05cbd5dddb3dfefd ink=0,0,1024,568        px=447576   reg=3:1470ab54
multisig-import/not-a-member       720x720   7d3e3e6a3bcfed20 ink=0,0,720,696         px=407160   reg=3:d18548bf
multisig-import/not-a-member       720x1280  b7119aaaa483ede6 ink=0,0,720,1256        px=437758   reg=3:2f58dd6b
multisig-import/not-a-member       800x480   e6b8d68dd5fb6f16 ink=0,0,800,454         px=270754   reg=3:0bb8f1c3
multisig-import/not-a-member       800x1280  d2950eb801876c07 ink=0,0,800,1254        px=459038   reg=3:8acf60d5
multisig-import/not-a-member       1024x600  3718a8e423461386 ink=0,0,1024,568        px=447576   reg=3:1470ab54
multisig-import/replace            720x720   19c7ab8403dbe535 ink=24,24,672,672       px=94671    reg=2:22aa173b
multisig-import/replace            720x1280  1ec89f624c49fb21 ink=24,24,672,1232      px=94671    reg=2:e14f36e5
multisig-import/replace            800x480   d3821f8a3f35fb65 ink=26,26,748,428       px=97607    reg=2:0ce61901
multisig-import/replace            800x1280  7b841d798e0049cb ink=26,26,748,1228      px=104759   reg=2:fec27d46
multisig-import/replace            1024x600  fa24309b55621a64 ink=32,32,960,536       px=112909   reg=2:28b2581f
multisig-list/empty                720x720   ca10171200d7df91 ink=0,0,720,696         px=284568   reg=3:a3256e54
multisig-list/empty                720x1280  d0644dd772482d1c ink=0,0,720,1256        px=295704   reg=3:6f4cd64c
multisig-list/empty                800x480   10d3d2cbb027bb05 ink=0,0,800,454         px=260016   reg=3:545e18ed
multisig-list/empty                800x1280  524a58300c7a24d7 ink=0,0,800,1254        px=328584   reg=3:3a7df5ac
multisig-list/empty                1024x600  2c44acbaf0d5c9cf ink=0,0,1024,568        px=307608   reg=3:659c7a26
multisig-list/no-card              720x720   449dd1ebe6719ed8 ink=0,0,720,696         px=291552   reg=4:b4a7df95
multisig-list/no-card              720x1280  4af69dec0712dc52 ink=0,0,720,1256        px=302592   reg=4:3aa867ff
multisig-list/no-card              800x480   d6c08ca6532e48b6 ink=0,0,800,454         px=186280   reg=4:e77797f1
multisig-list/no-card              800x1280  9772372b719c3dab ink=0,0,800,1254        px=335296   reg=4:95f88cd3
multisig-list/no-card              1024x600  1f6209773b128bfc ink=0,0,1024,568        px=314496   reg=4:63a785c9
multisig-list/pick                 720x720   adc15dd226942643 ink=0,0,720,696         px=320050   reg=5:2b6153ef
multisig-list/pick                 720x1280  8e7e3d094b13a3b8 ink=0,0,720,1256        px=331090   reg=5:a9655a50
multisig-list/pick                 800x480   718722bb1e6216ff ink=0,0,800,454         px=249528   reg=4:cede5d48
multisig-list/pick                 800x1280  4672c1bd9e96c81a ink=0,0,800,1254        px=367898   reg=5:c6d2a6ac
multisig-list/pick                 1024x600  e962dad8a2608fc6 ink=0,0,1024,568        px=427666   reg=5:a1605fb9
multisig-list/registered           720x720   3ee586add7eca96d ink=0,0,720,696         px=252273   reg=5:1561ef80
multisig-list/registered           720x1280  a00d3c5895ab80ef ink=0,0,720,1256        px=263409   reg=5:65bd3306
multisig-list/registered           800x480   b74efd2ad78be352 ink=0,0,800,454         px=255489   reg=5:4d273be6
multisig-list/registered           800x1280  1925950dc461cae8 ink=0,0,800,1254        px=292641   reg=5:4d17f01f
multisig-list/registered           1024x600  394b901636ed2e37 ink=0,0,1024,568        px=330609   reg=5:c7e560fe
multisig-list/unreadable-claim     720x720   609e09183c23c818 ink=0,0,720,696         px=284568   reg=3:a3256e54
multisig-list/unreadable-claim     720x1280  9a0f9bdb7e3725ad ink=0,0,720,1256        px=295704   reg=3:6f4cd64c
multisig-list/unreadable-claim     800x480   c5938999452f883f ink=0,0,800,454         px=291432   reg=3:545e18ed
multisig-list/unreadable-claim     800x1280  4c599217b127fc92 ink=0,0,800,1254        px=328584   reg=3:3a7df5ac
multisig-list/unreadable-claim     1024x600  a8f27eeea1beb6b3 ink=0,0,1024,568        px=342168   reg=3:659c7a26
name-wallet/empty                  720x720   d8da33ca8d9c3d53 ink=0,0,720,696         px=234727   reg=4:752c71c2
name-wallet/empty                  720x1280  c7786206831a56ea ink=0,0,720,1256        px=242727   reg=4:f90b1867
name-wallet/empty                  800x480   a1f06c610437815b ink=0,0,800,454         px=241067   reg=4:d75844e0
name-wallet/empty                  800x1280  ecf2040b4e8eacbf ink=0,0,800,1254        px=267551   reg=4:58f18c99
name-wallet/empty                  1024x600  6e65581bb74a43f4 ink=0,0,1024,568        px=239591   reg=4:c88a5543
name-wallet/save-notice            720x720   461abddf521c370d ink=0,0,720,696         px=234171   reg=4:752c71c2
name-wallet/save-notice            720x1280  5941f2d43d00b3f4 ink=0,0,720,1256        px=242171   reg=4:f90b1867
name-wallet/save-notice            800x480   094d973054756dec ink=0,0,800,454         px=240511   reg=4:d75844e0
name-wallet/save-notice            800x1280  0fc5178b08f19891 ink=0,0,800,1254        px=266995   reg=4:58f18c99
name-wallet/save-notice            1024x600  14d18a0d0a909978 ink=0,0,1024,568        px=239035   reg=4:c88a5543
name-wallet/typed                  720x720   9d0722f2e94e549e ink=0,0,720,696         px=259441   reg=33:d0bff432
name-wallet/typed                  720x1280  63433f734187f89f ink=0,0,720,1256        px=265201   reg=33:78c0ff72
name-wallet/typed                  800x480   6dc7b9ce52900fb8 ink=0,0,800,454         px=267492   reg=33:c52aa616
name-wallet/typed                  800x1280  70a4e0541cb2ce02 ink=0,0,800,1254        px=296945   reg=33:b46b2236
name-wallet/typed                  1024x600  e51cb3bf35e05d7a ink=0,0,1024,568        px=360577   reg=33:00054a5e
passphrase/off                     720x720   163555990fc37b90 ink=0,0,720,696         px=146379   reg=4:f6bd0ded
passphrase/off                     720x1280  957fb8bc4b4f56f2 ink=0,0,720,1256        px=157515   reg=4:ab3444c7
passphrase/off                     800x480   2a7f3fd06558e213 ink=0,0,800,454         px=135243   reg=4:84593074
passphrase/off                     800x1280  34f18219e1c17173 ink=0,0,800,1254        px=172395   reg=4:65c0a749
passphrase/off                     1024x600  84f8f641d5f78209 ink=0,0,1024,568        px=170571   reg=4:a49807f0
passphrase/typed-masked            720x720   37b9271d8a799f00 ink=0,0,720,696         px=313804   reg=36:afc1bbb5
passphrase/typed-masked            720x1280  17bf52e07a57f9d9 ink=0,0,720,1256        px=319564   reg=36:d8991721
passphrase/typed-masked            800x480   b9adb435004d846f ink=0,0,800,454         px=226492   reg=36:c5a01e7f
passphrase/typed-masked            800x1280  bac489fbf0cfec2b ink=0,0,800,1254        px=356716   reg=36:a4007725
passphrase/typed-masked            1024x600  a66307dc0d437f5c ink=0,0,1024,568        px=373968   reg=36:5d84425b
passphrase/typed-shown             720x720   296cae1de949c0ee ink=0,0,720,696         px=313804   reg=36:afc1bbb5
passphrase/typed-shown             720x1280  ea7241cb77c84760 ink=0,0,720,1256        px=319564   reg=36:d8991721
passphrase/typed-shown             800x480   714948dc23eda8d6 ink=0,0,800,454         px=226492   reg=36:c5a01e7f
passphrase/typed-shown             800x1280  44a78ae1d0b8e156 ink=0,0,800,1254        px=356716   reg=36:a4007725
passphrase/typed-shown             1024x600  0fe1a6977cc3e70a ink=0,0,1024,568        px=373968   reg=36:5d84425b
phrase/autocomplete                720x720   ac5243064cb63dd8 ink=0,0,720,696         px=342194   reg=36:e1ad31a2
phrase/autocomplete                720x1280  14f754eeb8721e55 ink=0,0,720,1256        px=347954   reg=36:32061e64
phrase/autocomplete                800x480   6672521b622240e7 ink=0,0,800,454         px=235794   reg=36:63b07244
phrase/autocomplete                800x1280  f34a2d44f58bc538 ink=0,0,800,1254        px=389426   reg=36:bfa14d27
phrase/autocomplete                1024x600  56efff6c2d299532 ink=0,0,1024,568        px=398294   reg=36:7e918222
phrase/empty                       720x720   c0d2c2b64386ff63 ink=0,0,720,696         px=304335   reg=32:729033b2
phrase/empty                       720x1280  e54bc7692c316fab ink=0,0,720,1256        px=310095   reg=32:e1e7f03e
phrase/empty                       800x480   88d9c3bf660fcf02 ink=0,0,800,454         px=193375   reg=32:0b94a143
phrase/empty                       800x1280  af2f80e2df389311 ink=0,0,800,1254        px=347007   reg=32:60ca7bb6
phrase/empty                       1024x600  dd54064edea6e385 ink=0,0,1024,568        px=343155   reg=32:9e944f41
phrase/final-word                  720x720   84ebf814245156fe ink=0,0,720,696         px=343343   reg=36:45e1cb59
phrase/final-word                  720x1280  fb855d81518ded4f ink=0,0,720,1256        px=349103   reg=36:5353d317
phrase/final-word                  800x480   b6f339174c002663 ink=0,0,800,454         px=236943   reg=36:8eb414aa
phrase/final-word                  800x1280  91f5cc357bd752ef ink=0,0,800,1254        px=390575   reg=36:6bc3ffc1
phrase/final-word                  1024x600  1eeea1cba9687b0b ink=0,0,1024,568        px=399443   reg=36:da277f2d
phrase/final-word-sheet            720x720   ffaaf770909d8d63 ink=0,0,720,696         px=348280   reg=22:c7af8f7c
phrase/final-word-sheet            720x1280  bef43e2ae617c44e ink=0,0,720,1256        px=669560   reg=46:cc0b0ac3
phrase/final-word-sheet            800x480   11afd8ede921f65d ink=0,0,800,454         px=237760   reg=17:7e631d34
phrase/final-word-sheet            800x1280  4a927973814ab784 ink=0,0,800,1254        px=739600   reg=61:16aa7d23
phrase/final-word-sheet            1024x600  f2cc59d851f3c828 ink=0,0,1024,568        px=413784   reg=31:1afa3353
phrase/typed                       720x720   5c55f51be1d5b2f4 ink=0,0,720,696         px=314500   reg=33:39d20e27
